Brand,Model,Body_Type,variant,No.of Seats,Price,Fuel_Type,location,gearbox_Type
Volkswagen,Taigun,SUV,1.0 Comfortline,5 Seater,₹13.67 L,Petrol,Delhi,Manual
Mahindra,Bolero,SUV,B6(O),7 Seater,₹13.42 L,Diesel,Delhi,Manual
Mahindra,Thar,SUV,1.5 LX Hard Top Diesel,4 Seater,₹16.32 L,Diesel,Delhi,Manual
Tata,Safari,SUV,Smart,7 Seater,₹18.37 L,Diesel,Delhi,Manual
Toyota,Fortuner Legender,SUV,2.8 4x2 AT,7 Seater,₹53.19 L,Diesel,Delhi,Automatic
Mahindra,Bolero Neo,SUV,1.5 N4,7 Seater,₹11.91 L,Diesel,Delhi,Manual
Tata,Curvv,SUV,1.2 Pure Plus,5 Seater,₹13.12 L,Petrol,Delhi,Manual
Hyundai,IONIQ 5,SUV,RWD,5 Seater,₹47.72 L,Electric,Delhi,Automatic
Toyota,Fortuner,SUV,2.8 4x2 MT,7 Seater,₹43.61 L,Diesel,Delhi,Manual
Tata,Tigor,Sedan,XM,5 Seater,₹6.69 L,Petrol,Delhi,Manual
Tata,Tiago EV,Hatchback,XT MR,5 Seater,₹9.64 L,Electric,Delhi,Automatic
Tata,Tiago NRG,Hatchback,XZ,5 Seater,₹8.30 L,Petrol,Delhi,Manual
Honda,Amaze,Sedan,V,5 Seater,₹9.19 L,Petrol,Delhi,Manual
Mahindra,XEV 9e,SUV,Pack Three,5 Seater,₹33.42 L,Electric,Delhi,Automatic
Nissan,Magnite,SUV,1.0 Visia,5 Seater,₹7.08 L,Petrol,Delhi,Manual
Maruti Suzuki,launchMaruti Suzuki Dzire,Sedan,LXi,5 Seater,₹7.74 L,Petrol,Delhi,Manual
Tata,Tiago,Hatchback,XE,5 Seater,₹5.62 L,Petrol,Delhi,Manual
Mahindra,BE 6,SUV,Pack Three,5 Seater,₹29.61 L,Electric,Delhi,Automatic
Mahindra,Thar Roxx,SUV,2.0 MX3 AT,5 Seater,₹18.89 L,Petrol,Delhi,Automatic
Skoda,Kylaq,SUV,Classic,5 Seater,₹9.50 L,Petrol,Delhi,Manual
MG,Windsor EV,SUV,Essence,5 Seater,₹17.19 L,Electric,Delhi,Automatic
Hyundai,Creta Electric,SUV,Smart,5 Seater,₹20.24 L,Electric,Delhi,Automatic
Hyundai,Alcazar,SUV,Executive,7 Seater,₹17.48 L,Petrol,Delhi,Manual
Kia,Carens Clavis EVMPV/MUV7,MPV/MUV,HTK Plus,7 Seater,₹18.91 L,Electric,Delhi,Automatic
Volkswagen,launchVolkswagen Tiguan R-Line,SUV,2.0L TSI,5 Seater,₹56.81 L,Petrol,Delhi,Automatic
Tata,launchTata Altroz,Hatchback,1.2 Smart,5 Seater,₹7.85 L,Petrol,Delhi,Manual
Renault,TriberMPV/MUV7,MPV/MUV,Authentic,7 Seater,₹7.25 L,Petrol,Delhi,Manual
Skoda,launchSkoda Kodiaq,SUV,Sportline,7 Seater,₹54.57 L,Petrol,Delhi,Automatic
Maruti Suzuki,Suzuki Baleno,Hatchback,1.2 Sigma,5 Seater,₹7.57 L,Petrol,Delhi,Manual
Citroen,Aircross,SUV,1.2 You,5 Seater,₹9.74 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki ErtigaMPV/MUV7,MPV/MUV,LXi,7 Seater,₹10.15 L,Petrol,Delhi,Manual
Maruti Suzuki,Suzuki Fronx,SUV,1.2 Delta AGS,5 Seater,₹9.96 L,Petrol,Delhi,Automatic
Citroen,Basalt,SUV,You,5 Seater,₹9.43 L,Petrol,Delhi,Manual
Tata,Harrier EV,SUV,Empowered 75,5 Seater,₹28.87 L,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki XL6,SUV,Alpha AT,6 Seater,₹16.42 L,Petrol,Delhi,Automatic
Kia,Carens Clavis,SUV,1.5 HTE,6 Seater,₹13.32 L,Petrol,Delhi,Manual
Citroen,C3,SUV,1.2 Live,5 Seater,₹7.15 L,Petrol,Delhi,Manual
Toyota,Innova Hycross,SUV,2.0 GX 7 STR CVT,8 Seater,₹23.97 L,Petrol,Delhi,Automatic
Bentley,Bentayga,SUV,EWB,5 Seater,₹6.76 Cr,Petrol,Delhi,Automatic
Mercedes-Benz,AMG EQS,Sedan,53 4MATIC Plus,5 Seater,₹2.52 Cr,Electric,Delhi,Automatic
Mercedes-Benz,EQE,SUV,500 4MATIC,5 Seater,₹1.48 Cr,Electric,Delhi,Automatic
Mercedes-Benz,EQS,Sedan,580 4MATIC,5 Seater,₹1.70 Cr,Electric,Delhi,Automatic
Mercedes-Benz,G-Class,SUV,G 400 d AMG Line,5 Seater,₹3.05 Cr,Diesel,Delhi,Automatic
Mercedes-Benz,GLA,SUV,220d AMG Line 4MATIC,5 Seater,₹65.46 L,Diesel,Delhi,Automatic
Jeep,Compass,SUV,2.0 Model S (O) Diesel,5 Seater,₹32.99 L,Diesel,Delhi,Manual
Citroen,E-C3,SUV,Live,5 Seater,₹12.96 L,Electric,Delhi,Automatic
Mercedes-Benz,GLB,SUV,220d 4MATIC AMG Line,7 Seater,₹85.59 L,Diesel,Delhi,Automatic
Jeep,Meridian,SUV,2.0 Limited (O) AT Diesel,7 Seater,₹41.46 L,Diesel,Delhi,Automatic
Citroen,C5 Aircross,SUV,Feel,5 Seater,₹44.38 L,Diesel,Delhi,Automatic
Mercedes-Benz,Maybach GLS,SUV,600 4MATIC,5 Seater,₹3.88 Cr,Petrol,Delhi,Automatic
Mercedes-Benz,Maybach S-Class,Sedan,S 680 4MATIC,5 Seater,₹3.98 Cr,Petrol,Delhi,Automatic
Mercedes-Benz,S-Class,Sedan,S 450 4MATIC,5 Seater,₹2.17 Cr,Petrol,Delhi,Automatic
BMW,2 Series Gran CoupeCoupe5,Coupe,M Performance Edition,5 Seater,₹52.18 L,Petrol,Delhi,Automatic
BMW,3 Series Gran LimousineCoupe5,Coupe,330Li M Sport,5 Seater,₹68.62 L,Petrol,Delhi,Automatic
Lamborghini,HuracanCoupe2,Coupe,Evo AWD,2 Seater,₹4.21 Cr,Petrol,Delhi,Automatic
Mahindra,Bolero Neo Plus,SUV,P4,9 Seater,₹13.88 L,Diesel,Delhi,Manual
BMW,i7,Sedan,M70 xDrive,5 Seater,₹2.61 Cr,Electric,Delhi,Automatic
BMW,iX,SUV,xDrive 40,5 Seater,₹1.26 Cr,Electric,Delhi,Automatic
BMW,iX1,SUV,xDrive30 M Sport,5 Seater,₹70.01 L,Electric,Delhi,Automatic
BMW,M2Coupe4,Coupe,3.0 Petrol,4 Seater,₹1.18 Cr,Petrol,Delhi,Automatic
BMW,M340i,Sedan,xDrive,5 Seater,₹85.88 L,Petrol,Delhi,Automatic
BMW,M8Coupe4,Coupe,Coupe,4 Seater,₹2.75 Cr,Petrol,Delhi,Automatic
BMW,X3 M40i,SUV,xDrive,5 Seater,₹99.18 L,Petrol,Delhi,Automatic
BMW,X4 M40i,SUV,xDrive,5 Seater,₹1.09 Cr,Petrol,Delhi,Automatic
