Brand,Model,Body_Type,Variant,Seater,Price,Fuel_Type,Location,Gearbox_Type
Porsche,PanameraCoupe4,Coupe,G3,4,194.0,Petrol,Delhi,Automatic
Toyota,Land Cruiser,SUV,ZX Diesel,5,270.0,Diesel,Delhi,Automatic
Volvo,XC40 Recharge,SUV,Ultimate AWD,5,59.94,Electric,Delhi,Automatic
Audi,Q7,SUV,Signature Edition,7,113.99999999999999,Petrol,Delhi,Automatic
Jeep,Grand Cherokee,SUV,Signature Edition AT,5,79.19,Petrol,Delhi,Automatic
Mercedes-Benz,AMG G-Class,SUV,G 63,5,412.0,Petrol,Delhi,Automatic
Audi,Q8,SUV,55 TFSI quattro,5,135.0,Petrol,Delhi,Automatic
Mini,Countryman Electric,Hatchback,E,5,56.68,Electric,Delhi,Automatic
Mercedes-Benz,EQA,SUV,250 Plus,5,70.32,Electric,Delhi,Automatic
Mercedes-Benz,AMG E53 CabrioletConvertible4,Convertible,4MATIC Plus,4,147.0,Petrol,Delhi,Automatic
Mercedes-Benz,AMG S 63 E Performance,Sedan,Edition 1,5,429.0,Petrol,Delhi,Automatic
Mercedes-Benz,AMG GLE CoupeCoupe5,Coupe,53 4Matic Plus,5,214.0,Petrol,Delhi,Automatic
Mercedes-Benz,GLE,SUV,450d 4MATIC LWB,5,137.00000000000003,Diesel,Delhi,Automatic
Force Motors,Motors Gurkha,SUV,3 Door (4-Seater),4,19.72,Diesel,Delhi,Manual
Force Motors,Motors Gurkha 5 Door,SUV,7 Seater,7,21.2,Diesel,Delhi,Manual
Isuzu,V-Cross,SUV,Hi-Lander,5,24.84,Diesel,Delhi,Manual
Ferrari,Purosangue,SUV,V12,4,120.0,Petrol,Delhi,Automatic
Kia,EV9,SUV,GT-Line AWD,6,140.0,Electric,Delhi,Automatic
Mini,Cooper,Hatchback,S,4,51.13,Petrol,Delhi,Automatic
Skoda,Superb,Sedan,L&K,5,62.86,Petrol,Delhi,Automatic
Kia,Carnival,SUV,Limousine Plus,7,76.9,Diesel,Delhi,Automatic
Jaguar,I-PaceCoupe2-5,Coupe,HSE,5,129.0,Electric,Delhi,Automatic
