Brand,Model,Body_Type,Variant,Seater,Price,Fuel_Type,Location,Gearbox_Type
Volkswagen,Taigun,SUV,1.0 Comfortline TSI,5,13.69,Petrol,Delhi,Manual
Skoda,Rapid TSI,Sedan,Matte Limited Edition AT,5,15.88,Petrol,Delhi,Automatic
Skoda,Superb,Sedan,2.0 Sportline TSI AT,5,40.28,Petrol,Delhi,Automatic
Skoda,Kodiaq,SUV,L&K,7,46.66,Petrol,Delhi,Automatic
Skoda,Octavia,Sedan,2.0 L&K TSI,5,35.91,Petrol,Delhi,Automatic
Volkswagen,Virtus,Sedan,1.0 Comfortline TSI,5,13.53,Petrol,Delhi,Manual
Hyundai,Venue,SUV,1.2 SX,5,12.75,Petrol,Delhi,Manual
Mg,Astor,SUV,1.5 Style,5,12.65,Petrol,Delhi,Manual
Mg,Hector Plus,SUV,2.0 Style Turbo 7 STR,7,20.29,Diesel,Delhi,Manual
Mg,Hector,SUV,1.5 Shine Turbo CVT,5,20.0,Petrol,Delhi,Automatic
Hyundai,Alcazar,SUV,1.5 Platinum(O) DCT 6 STR Petrol,7,23.26,Petrol,Delhi,Automatic
Tata,Tigor EV,Sedan,XZ Plus LUX,5,14.7,Electric,Delhi,Automatic
Maruti Suzuki,Suzuki Grand Vitara,SUV,Zeta CNG,5,17.26,CNG,Delhi,Manual
Hyundai,Creta,SUV,1.5 SX(O) IVT Petrol Knight,5,20.94,Petrol,Delhi,Automatic
Tata,Harrier,SUV,2.0 XMS,5,21.69,Diesel,Delhi,Manual
Mg,ZS EV,SUV,Excite,5,21.3,Electric,Delhi,Automatic
Citroen,C3 Aircross,SUV,1.2 Max Vibe Pack AT,7,16.27,Petrol,Delhi,Automatic
Volkswagen,Tiguan,SUV,2.0 Elegance TSI AT,5,41.41,Petrol,Delhi,Automatic
Bmw,X3,SUV,xDrive20d M Sport,5,83.84,Diesel,Delhi,Automatic
Aston Martin,Martin DB11Coupe4,Coupe,Evolution,4,434.0,Petrol,Delhi,Automatic
Audi,Q7,SUV,Premium Plus 55 TFSI,7,100.0,Petrol,Delhi,Automatic
Bmw,M4 Competition,Sedan,M xDrive Coupe,4,199.0,Petrol,Delhi,Automatic
Kia,EV6,SUV,GT Line AWD,5,68.05,Electric,Delhi,Automatic
Byd,e6,SUV,GL,5,30.31,Electric,Delhi,Automatic
Mini,Countryman,SUV,Cooper S JCW Inspired,5,54.73,Petrol,Delhi,Automatic
Audi,RS Q8,SUV,4.0L TFSI,5,250.99999999999997,Petrol,Delhi,Automatic
Land Rover,Rover Range Rover Evoque,SUV,SE R-Dynamic Diesel,5,78.73,Diesel,Delhi,Automatic
